Name;Team;Competition;Nationality;Age;Primary Position;Secondary Position;Minutes Played;finishing;dribbling;passing;creation;defending;pressing;overall;overall_global;overall_league_adjusted
Josh Murphy;Cardiff City;Championship;England;26;Right Centre Forward;Left Wing;1256,8999;23,20364139;32,58574138;24,4877028;32,64124206;33,15575164;38,05078114;48,15788457;43,94541608;39,30996876
Stoichkov;Sabadell;La Liga 2;Spain;27;Right Centre Forward;Centre Attacking Midfielder;2949,8833;39,35619926;28,91153925;29,28976511;11,1308006;23,8049445;38,34041566;50,56989579;43,94106402;32,36970946
Michael Smith;Rotherham United;Championship;England;29;Right Centre Forward;Centre Forward;3359,3665;29,4474988;27,30468702;29,6954148;22,68724229;20,65568175;31,16108804;45,75718028;43,9244608;39,29122389
Ermedin Demirović;Freiburg;1. Bundesliga;Bosnia and Herzegovina;23;Centre Forward;Right Centre Forward;1580,5332;32,79897793;27,8362114;20,60720467;31,81348061;13,50747749;48,59021021;49,6494609;43,9052781;39,27406461
Marco Grüll;Ried;Bundesliga;Austria;22;Left Centre Forward;Centre Forward;2717,4834;32,97509527;38,92133953;26,27543255;14,54579639;27,38738704;34,3843745;52,80860714;43,89401322;27,71575622
Andrés Martín;Rayo Vallecano;La Liga 2;Spain;21;Right Wing;Centre Attacking Midfielder;2005,2499;30,10119557;29,53504023;24,56278251;21,63134362;26,24053489;49,95089485;48,63418922;43,88787719;32,33052874
Bruno Duarte;Vitória Guimarães;Primeira Liga;Brazil;25;Centre Forward;Left Centre Forward;1090,3165;29,9065208;27,40257138;29,60013442;3,198605285;20,80045027;50,15760918;43,76732205;43,88564015;41,56570388
Antonio Puertas;Granada;La Liga;Spain;29;Right Wing;Left Wing;2330,8164;25,00775988;36,64683481;31,26118434;13,156664;39,3344397;24,40652791;47,37290133;43,86222947;46,15947863
Mbaye Diagne;West Bromwich Albion;Premier League;Senegal;29;Centre Forward;Left Centre Forward;1266,75;30,03729341;39,35250589;28,39975754;21,26877239;21,39400848;16,12631025;50,91275611;43,79003302;46,08350096
Alex Mighten;Nottingham Forest;Championship;England;19;Left Wing;Right Wing;1308,2833;33,24347259;42,25819571;33,61658455;4,633795763;26,2867994;25,89325719;53,15904732;43,78498877;39,16646363
Rubén García;Osasuna;La Liga;Spain;27;Left Midfielder;Right Midfielder;2837,9998;15,35750303;27,05357087;37,08245311;19,08928215;50,96262026;26,62000105;39,91269923;43,77381115;46,06642947
Vicente Besuijen;ADO Den Haag;Eredivisie;Colombia;20;Right Wing;Left Wing;2155,7332;8,991621261;35,14909741;33,90137805;14,03586782;45,07546107;35,35947812;39,88085641;43,76808749;32,24228423
Benito Ramírez;Las Palmas;La Liga 2;Spain;25;Left Back;Left Midfielder;2095,2834;0,01961245;26,58649808;32,52275009;16,39361625;58,76593514;46,11942357;32,18035631;43,76034538;32,23658091
